PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON,Season_Year,injured,PLAYER_ID_run,TEAM_ABBREVIATION_run,GP_run,MIN,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON_TYPE
201229,Anthony Tolliver,CHA,29,80,240,64,6.1,2.6,0.7,2.6,0.025,0.104,0.118,0.605,0.049,2013-14,2013,FALSE,201229,CHA,63,20.33,1.45,0.8,0.65,4.3,4.61,3.96,Regular Season
201229,Anthony Tolliver,CHA,29,80,240,64,6.1,2.6,0.7,2.6,0.025,0.104,0.118,0.605,0.049,2013-14,2013,FALSE,201229,CHA,4,5.17,0.41,0.24,0.18,4.93,5.22,4.06,Playoffs
203462,Archie Goodwin,PHX,19,77,198,52,3.7,1.7,0.4,-7.9,0.045,0.108,0.185,0.507,0.061,2013-14,2013,TRUE,203462,PHX,52,10.25,0.76,0.4,0.36,4.45,4.72,4.19,Regular Season
202620,Arinze Onuaku,CLE,26,81,275,5,0.6,1.6,0.6,-17.1,0.083,0.261,0.096,0.255,0.13,2013-14,2013,FALSE,202620,CLE,5,6.03,0.42,0.22,0.2,4.18,4.72,3.72,Regular Season
203102,Arnett Moultrie,PHI,23,82,240,12,3,2.9,0.2,-15.9,0.053,0.132,0.1,0.448,0.015,2013-14,2013,TRUE,203102,PHI,12,15.59,1.13,0.59,0.54,4.36,4.83,3.95,Regular Season
203382,Aron Baynes,SAS,27,82,260,53,3,2.7,0.6,3.3,0.119,0.186,0.184,0.467,0.103,2013-14,2013,TRUE,203382,SAS,53,9.26,0.66,0.36,0.3,4.3,4.63,3.97,Regular Season
203382,Aron Baynes,SAS,27,82,260,53,3,2.7,0.6,3.3,0.119,0.186,0.184,0.467,0.103,2013-14,2013,TRUE,203382,SAS,14,7.24,0.51,0.28,0.23,4.28,4.51,3.91,Playoffs
201167,Arron Afflalo,ORL,28,77,215,73,18.2,3.6,3.4,-7.4,0.013,0.092,0.228,0.574,0.169,2013-14,2013,TRUE,201167,ORL,73,34.96,2.43,1.33,1.09,4.18,4.51,3.84,Regular Season
201948,Austin Daye,SAS,26,83,200,22,3,1.2,0.4,0,0.034,0.156,0.224,0.456,0.081,2013-14,2013,TRUE,201948,SAS,22,6.74,0.48,0.26,0.21,4.26,4.4,4.01,Regular Season
201948,Austin Daye,SAS,26,83,200,22,3,1.2,0.4,0,0.034,0.156,0.224,0.456,0.081,2013-14,2013,TRUE,201948,SAS,1,5.87,0.37,0.18,0.2,4.09,6.94,2.9,Playoffs
